"time"	"length"	"track"	"channel"	"note"	"notename"	"velocity"	"angle"	"x"	"y"	"amplitude"	"angle.c"	"x.c"	"y.c"	"angle.mw"	"x.mw"	"y.mw"
2270	353	"Piano"	0	68	"g#'"	59	0.161221590909091	-46.8378664947804	10.4982980628825	1.25	92.1605564069315	-46.2741492390107	12.7555130122536	0.943165102583684	-39.7753459127808	26.8686035647301
2281	353	"Piano"	0	72	"c''"	71	0.162002840909091	-50.7321212736773	11.4127941834109	1.25	92.161334433573	-50.1195620310694	13.8574709746689	1.00916052052955	-41.0765775734509	31.8859651704676
2297	345	"Piano"	0	75	"d#''"	91	0.163139204545455	-53.645222480821	12.132192917326	1.25	92.162466108688	-52.9944543886018	14.7169223703328	1.05920523912275	-41.7049055690349	35.856670948066
2304	373	"Piano"	0	56	"g#"	91	0.163636363636364	-35.1092842176433	7.95852761035265	1.25	92.1629612165508	-34.6825056630143	9.65006740572229	0.749917738289879	-33.1462410861499	14.0473022982645
2311	343	"Piano"	0	79	"g''"	82	0.164133522727273	-57.5337241735247	13.0717475008042	1.25	92.1634563244135	-56.8329358804451	15.8435286224128	1.12541284615266	-42.0951944265711	41.3399879800318
2659	343	"Piano"	0	65	"f'"	72	0.188849431818182	-43.6218596294775	11.0513964034489	1.25	92.1880702581634	-43.036618397607	13.1472231630393	0.921765910337299	-37.8198391136818	24.3856467909963
2670	334	"Piano"	0	68	"g#'"	84	0.189630681818182	-46.5207599088866	11.8245041122126	1.25	92.1888482848049	-45.894801582055	14.0594163372383	0.971456980457078	-38.9993664323558	27.9830201707185
2688	341	"Piano"	0	49	"c#"	80	0.190909090909091	-28.0971365621961	7.17989672664614	1.25	92.1901214193092	-27.7172725220357	8.52952542285951	0.662947506265728	-27.5831257052236	8.95383584447658
2689	326	"Piano"	0	72	"c''"	76	0.190980113636364	-50.3801579615598	12.8778757475091	1.25	92.1901921490039	-49.6988550490618	15.297836670992	1.03801823596041	-40.1394467343046	33.0579009597392
2698	327	"Piano"	0	77	"f''"	82	0.191619318181818	-55.2153695417582	14.1514298347229	1.25	92.190828716256	-54.4669056167454	16.8034577553714	1.120176542343	-40.8768110034334	39.7251346402952
3045	338	"Piano"	0	68	"g#'"	65	0.216264204545455	-46.1893702926045	13.0591757769267	1.25	92.2153719203112	-45.5057958452665	15.2716254697698	0.997980615963385	-38.2435247404889	29.0074613750258
3049	337	"Piano"	0	62	"d'"	58	0.216548295454545	-40.412451131166	11.4382600762144	1.25	92.21565483909	-39.8137892201752	13.3739368897667	0.900437447785597	-35.7758857650068	22.0019544070336
3069	335	"Piano"	0	72	"c''"	76	0.21796875	-50.0142968472921	14.2327127024664	1.25	92.2170694329836	-49.2697903927371	16.6279209360566	1.06489551994014	-39.2365498505662	34.1246707797164
3072	355	"Piano"	0	50	"d"	85	0.218181818181818	-28.8526518310508	8.21732817381418	1.25	92.2172816220677	-28.4228428963177	9.59906254231321	0.706412056850273	-28.1048517026166	10.4936795631433
3079	348	"Piano"	0	77	"f''"	80	0.218678977272727	-54.812269597591	15.6401758801171	1.25	92.2177767299304	-53.9943649988511	18.2649541026206	1.14712455601741	-39.7915857155062	40.812126950767
3435	382	"Piano"	0	61	"c#'"	63	0.243963068181818	-39.1293532030789	12.2431089968478	1.25	92.2429565012378	-38.4949649924842	14.111614727855	0.911434762107335	-34.6857704696577	21.8608629044286
3443	369	"Piano"	0	70	"a#'"	72	0.24453125	-47.7102324090823	14.9577312274072	1.25	92.2435223387952	-46.9353340838944	17.23584678608	1.05873973009959	-37.9287205941824	32.5793209580624
3456	367	"Piano"	0	49	"c#"	80	0.245454545454545	-27.6639129685508	8.7010297820687	1.25	92.2444418248261	-27.2132903524607	10.0218176092297	0.717267911782645	-27.056304020086	10.4382188505837
3462	355	"Piano"	0	75	"d#''"	71	0.245880681818182	-52.4590049911484	16.524309224251	1.25	92.2448662029942	-51.603341978663	19.0287965103724	1.14160533342901	-38.6121514884364	39.1676110764244
3477	338	"Piano"	0	79	"g''"	85	0.246946022727273	-56.2552891083116	17.7860183104672	1.25	92.2459271484145	-55.334624383662	20.4714275105338	1.20788367015361	-38.5466421947605	44.6671733548152
